,creator,PR,lifetimeAlpha
85,6c632acdc8c611eba73e5e80f8f2101b,0.0037192367536901926,-0.007832770344203625
86,bbadf98bcd8411eba73e5e80f8f2101b,0.0037118332487067153,0.15260197818302534
87,eabb9074cd8411eba73e5e80f8f2101b,0.0032732712530121983,-0.06771409811106305
88,bbe44bb1c42f11eba73e5e80f8f2101b,0.003232932496546376,0.0035496364182311
89,f4b75952b13d11eb8a7b5e80f8f2101b,0.0031065166304475676,0.11970924026195975
90,fef3f905b14a11eb8a7b5e80f8f2101b,0.0030164897605389693,0.21737762864748206
91,767eef97e93911eb91445e80f8f2101b,0.002994299559892658,0.006086253771043493
92,dd0f7f1ff12b11eb91445e80f8f2101b,0.0029536545211408093,0.0016909550472560006
93,5120939ac51011eba73e5e80f8f2101b,0.0029018779085041363,0.07289982093870756
94,88757a2ae93911eb91445e80f8f2101b,0.0028125498579056746,-0.012091961739492669
95,ad4a59b8cd8411eba73e5e80f8f2101b,0.002734721938138723,0.04225295502355654
96,ea44a7afca5911eba73e5e80f8f2101b,0.0027026234892351354,0.1892016501568407
97,935eeebab13411eb8a7b5e80f8f2101b,0.002684108231933429,-0.12642737250914818
98,02b7180ebdc611eba9fb5e80f8f2101b,0.0026565793933014015,0.029524990770006424
99,3974b70be93911eb91445e80f8f2101b,0.0023946333236808063,0.08721519276365905
100,aa3852b3ca5911eba73e5e80f8f2101b,0.0023395583396289884,0.09933731162203885
101,6acd2c7c018211ec8bfa0242797fea16,0.002217243103533795,0.0025093962331257315
102,2bb34aa8e93911eb91445e80f8f2101b,0.0021983333354611513,-0.04418763276450969
103,93e0736de93911eb91445e80f8f2101b,0.0021606981760169544,0.1323898117769688
104,8fc310ee018011ec8bfa0242797fea16,0.0020938582399155645,0.031107002458851066
105,b910d367e2ce11eb96635e80f8f2101b,0.0020783461973986122,0.0005291426744664929
106,cf69b3becd8411eba73e5e80f8f2101b,0.0019098487749554293,0.08129316731556138
107,dc9dac31cd8411eba73e5e80f8f2101b,0.0018376991514708753,0.1632741718574149
108,7fe6c902018211ec8bfa0242797fea16,0.0017974621318183203,0.00167318811923078
109,0df33c98b14b11eb8a7b5e80f8f2101b,0.001760310077186439,0.220178323945777
110,b99b155db13a11eb8a7b5e80f8f2101b,0.001687665142084403,0.16099174760388588
111,b9ee6326ca5911eba73e5e80f8f2101b,0.0016710399332560606,0.0170133879047501
112,f8fcf732ca5911eba73e5e80f8f2101b,0.001624240879121875,0.29062695137084316
113,d76d1b4cb14a11eb8a7b5e80f8f2101b,0.001578793799453315,0.12866152446970533
114,308ebc1eca5a11eba73e5e80f8f2101b,0.0014385702498314877,0.08718392360334921
115,f48f6fcbbdc511eba9fb5e80f8f2101b,0.0013642748795176843,0.2345467506331942
116,3ee13c46c1bd11eba9fb5e80f8f2101b,0.0013205915937000892,1.5791753443902574
117,0b53d2f6ffd211eb91445e80f8f2101b,0.0012875550538701559,0.0192306649883014
118,910646bee2ce11eb96635e80f8f2101b,0.0011235728456945506,0.11186091790251013
119,caf81cb9ca5911eba73e5e80f8f2101b,0.001025874154631799,0.30991320872547784
120,dc7bc393b13a11eb8a7b5e80f8f2101b,0.0010184930376594566,-0.22530350899105414
121,a9edccf2e54511eb91445e80f8f2101b,0.001003690142426658,0.1310038390299781
122,ddc97e9fd26d11eba73e5e80f8f2101b,0.0009844125924177666,0.027857797854298965
123,53e50e61e93911eb91445e80f8f2101b,0.00089624961717197,-0.05009950192473498
124,98ccca10ca5911eba73e5e80f8f2101b,0.0008051661092420896,0.214284597040569
125,33c26733c1bd11eba9fb5e80f8f2101b,0.0007942821961403343,-0.24981948968990825
126,5a762119018211ec8bfa0242797fea16,0.0007453731202180525,0.009806333328278771
127,946054f8018211ec8bfa0242797fea16,0.0007453731202180525,-0.005320132504237222
128,89f0d2b5018211ec8bfa0242797fea16,0.0007453731202180525,-0.0071050456057187295
129,7484f77f018211ec8bfa0242797fea16,0.0007453731202180525,-0.0005652751389487416
130,253b4b3cffd211eb91445e80f8f2101b,0.0007453731202180525,-0.04846339116160033
131,9e1d9071e2ce11eb96635e80f8f2101b,0.0007453731202180525,0.15995287067044
132,81ac205504ac11ec8bfa0242797fea16,0.0007453731202180525,0.05135098282202046
133,f3bd1746018011ec8bfa0242797fea16,0.0007453731202180525,0.154141963501054
134,19c3ced9ffd211eb91445e80f8f2101b,0.0007453731202180525,0.0035215034760502292
135,ee450ad4001811ec91445e80f8f2101b,0.0007453731202180525,0.03362055965169
136,ac9a23fac2a411eba9fb5e80f8f2101b,0.0007453731202180525,0.005822269502691463
137,651e8a84e93911eb91445e80f8f2101b,0.0007453731202180525,0.03947924845640085
138,fcf933d3ffd111eb91445e80f8f2101b,0.0007453731202180525,-0.000702655960347081
