,follower_idea,leader_idea,PR
101,6e6b7ba7c1d311eb9b615e80f8f2101b,06ef81d0c1ab11eb9b615e80f8f2101b,5.0
102,4fa91971c1dc11eb9b615e80f8f2101b,22f09b05b2cf11eb860b5e80f8f2101b,0.1
103,912ea0ecc1dc11eb9b615e80f8f2101b,8668d0afb6d411eb860b5e80f8f2101b,0.1
104,912ea0ecc1dc11eb9b615e80f8f2101b,f2becc30beaa11eb9b615e80f8f2101b,1.0
105,d10fc133c1c911eb9b615e80f8f2101b,1d137542bf5211eb9b615e80f8f2101b,2.0
106,d10fc133c1c911eb9b615e80f8f2101b,94817e72bf5211eb9b615e80f8f2101b,2.0
107,06ef81d0c1ab11eb9b615e80f8f2101b,e892ace3b86b11ebbd3b5e80f8f2101b,0.1
108,e567faf5c1aa11eb9b615e80f8f2101b,b09531d9bc3811eb9b615e80f8f2101b,0.1
109,e7274099c1b611eb9b615e80f8f2101b,b4fcc25fbdeb11eb9b615e80f8f2101b,1.0
110,e7274099c1b611eb9b615e80f8f2101b,372e36f4beac11eb9b615e80f8f2101b,2.0
111,e7274099c1b611eb9b615e80f8f2101b,e7ff2380bece11eb9b615e80f8f2101b,2.0
112,c70a4d2fc1be11eb9b615e80f8f2101b,b6264508b16011ebbd8d5e80f8f2101b,0.1
113,0e66789dc1b511eb9b615e80f8f2101b,05cf2dddb84511ebbd3b5e80f8f2101b,0.1
114,0e66789dc1b511eb9b615e80f8f2101b,15334075bc3911eb9b615e80f8f2101b,0.1
115,0e66789dc1b511eb9b615e80f8f2101b,db443534beaa11eb9b615e80f8f2101b,2.0
116,6d6a9f1fc1b411eb9b615e80f8f2101b,4d59a523b2fe11eb860b5e80f8f2101b,0.1
117,6d6a9f1fc1b411eb9b615e80f8f2101b,b251e4aabdba11eb9b615e80f8f2101b,0.1
118,6d6a9f1fc1b411eb9b615e80f8f2101b,118acca9bdf811eb9b615e80f8f2101b,1.0
119,198be819c27a11eb9b615e80f8f2101b,0353cd9ab9cd11ebbd3b5e80f8f2101b,0.1
120,30389d14c27911eb9b615e80f8f2101b,b622a797b45b11eb860b5e80f8f2101b,0.1
121,651cc71ec27c11eb9b615e80f8f2101b,05cf2dddb84511ebbd3b5e80f8f2101b,0.1
122,651cc71ec27c11eb9b615e80f8f2101b,15334075bc3911eb9b615e80f8f2101b,0.1
123,651cc71ec27c11eb9b615e80f8f2101b,db443534beaa11eb9b615e80f8f2101b,1.0
124,651cc71ec27c11eb9b615e80f8f2101b,e0411a45c1bb11eb9b615e80f8f2101b,5.0
125,651cc71ec27c11eb9b615e80f8f2101b,0e66789dc1b511eb9b615e80f8f2101b,5.0
126,70b5fa68c26d11eb9b615e80f8f2101b,88df2b7bb6cd11eb860b5e80f8f2101b,0.1
127,70b5fa68c26d11eb9b615e80f8f2101b,d3154984bc3811eb9b615e80f8f2101b,0.1
128,70b5fa68c26d11eb9b615e80f8f2101b,4c925f5fc1be11eb9b615e80f8f2101b,5.0
129,c6d0fa47c26d11eb9b615e80f8f2101b,6723613ebdee11eb9b615e80f8f2101b,0.1
130,c6d0fa47c26d11eb9b615e80f8f2101b,09af63c0beb111eb9b615e80f8f2101b,1.0
131,460cd309c36911eb9b615e80f8f2101b,d0391a04b77d11ebbd3b5e80f8f2101b,0.1
132,460cd309c36911eb9b615e80f8f2101b,c9c05da5bf7811eb9b615e80f8f2101b,0.1
133,ec426a75c36911eb9b615e80f8f2101b,99fc6ecfb14111ebbd8d5e80f8f2101b,0.1
134,ec426a75c36911eb9b615e80f8f2101b,2750b22ebf5411eb9b615e80f8f2101b,0.1
135,0597c331c36411eb9b615e80f8f2101b,a4400d9bbdea11eb9b615e80f8f2101b,0.1
136,0597c331c36411eb9b615e80f8f2101b,6ca6ffe5bdc611eb9b615e80f8f2101b,0.1
137,3684544bc36411eb9b615e80f8f2101b,0c142075b77e11ebbd3b5e80f8f2101b,0.1
138,a4c8302fc34311eb9b615e80f8f2101b,619f20febc3111eb9b615e80f8f2101b,0.1
139,1e9ddbc6c36f11eb9b615e80f8f2101b,5d503504c27d11eb9b615e80f8f2101b,4.0
140,1e9ddbc6c36f11eb9b615e80f8f2101b,12280230c36f11eb9b615e80f8f2101b,5.0
141,f4e41870c36e11eb9b615e80f8f2101b,2825ac18c27d11eb9b615e80f8f2101b,4.0
142,587d3ea9c33811eb9b615e80f8f2101b,6fc69de7b90311ebbd3b5e80f8f2101b,0.1
143,587d3ea9c33811eb9b615e80f8f2101b,1512ae3fbc3b11eb9b615e80f8f2101b,0.1
144,587d3ea9c33811eb9b615e80f8f2101b,35f9045bbdbe11eb9b615e80f8f2101b,0.1
145,74534087c33811eb9b615e80f8f2101b,ff170ddab2ce11eb860b5e80f8f2101b,0.1
146,74534087c33811eb9b615e80f8f2101b,98167826b2eb11eb860b5e80f8f2101b,0.1
147,74534087c33811eb9b615e80f8f2101b,476bcffeb6d111eb860b5e80f8f2101b,0.1
148,74534087c33811eb9b615e80f8f2101b,2901d3e4b77e11ebbd3b5e80f8f2101b,0.1
149,74534087c33811eb9b615e80f8f2101b,fb1cfff0bdc911eb9b615e80f8f2101b,0.1
150,4ba09ca1c2b811eb9b615e80f8f2101b,b09531d9bc3811eb9b615e80f8f2101b,0.1
151,4ba09ca1c2b811eb9b615e80f8f2101b,e567faf5c1aa11eb9b615e80f8f2101b,4.0
152,936137edc33f11eb9b615e80f8f2101b,7bfb4391b9dc11ebbd3b5e80f8f2101b,0.1
153,936137edc33f11eb9b615e80f8f2101b,37bc83bbbdba11eb9b615e80f8f2101b,0.1
154,936137edc33f11eb9b615e80f8f2101b,3f3b4dffbdea11eb9b615e80f8f2101b,0.1
155,936137edc33f11eb9b615e80f8f2101b,234d4810c2ad11eb9b615e80f8f2101b,5.0
156,12280230c36f11eb9b615e80f8f2101b,5d503504c27d11eb9b615e80f8f2101b,4.0
157,54c3e38bc33c11eb9b615e80f8f2101b,a4b9c59eb47a11eb860b5e80f8f2101b,0.1
158,234d4810c2ad11eb9b615e80f8f2101b,7bfb4391b9dc11ebbd3b5e80f8f2101b,0.1
159,234d4810c2ad11eb9b615e80f8f2101b,37bc83bbbdba11eb9b615e80f8f2101b,0.1
160,234d4810c2ad11eb9b615e80f8f2101b,3f3b4dffbdea11eb9b615e80f8f2101b,0.1
161,a8c5c952c2b711eb9b615e80f8f2101b,fc2e31c5b2e611eb860b5e80f8f2101b,0.1
162,a8c5c952c2b711eb9b615e80f8f2101b,c3a57a57bf7611eb9b615e80f8f2101b,1.0
163,f68f1e63c2ac11eb9b615e80f8f2101b,325efb08b47911eb860b5e80f8f2101b,0.1
164,f68f1e63c2ac11eb9b615e80f8f2101b,6b26461eb6b811eb860b5e80f8f2101b,0.1
165,f68f1e63c2ac11eb9b615e80f8f2101b,ecdd2a17bf5311eb9b615e80f8f2101b,1.0
166,85fe247ec2bb11eb9b615e80f8f2101b,0627a776c1b711eb9b615e80f8f2101b,4.0
167,f7c59a83c2ba11eb9b615e80f8f2101b,58c461b4b46a11eb860b5e80f8f2101b,0.1
168,2a43933cc2b611eb9b615e80f8f2101b,1d137542bf5211eb9b615e80f8f2101b,1.0
169,2a43933cc2b611eb9b615e80f8f2101b,94817e72bf5211eb9b615e80f8f2101b,1.0
170,2a43933cc2b611eb9b615e80f8f2101b,d10fc133c1c911eb9b615e80f8f2101b,4.0
171,4a3cb1eac2b611eb9b615e80f8f2101b,6ef0e68ab79a11ebbd3b5e80f8f2101b,0.1
172,71084eeac34d11eb9b615e80f8f2101b,88df2b7bb6cd11eb860b5e80f8f2101b,0.1
173,71084eeac34d11eb9b615e80f8f2101b,d3154984bc3811eb9b615e80f8f2101b,0.1
174,71084eeac34d11eb9b615e80f8f2101b,4c925f5fc1be11eb9b615e80f8f2101b,4.0
175,71084eeac34d11eb9b615e80f8f2101b,70b5fa68c26d11eb9b615e80f8f2101b,4.0
176,7fd89344c34d11eb9b615e80f8f2101b,6723613ebdee11eb9b615e80f8f2101b,0.1
177,7fd89344c34d11eb9b615e80f8f2101b,09af63c0beb111eb9b615e80f8f2101b,0.1
178,7fd89344c34d11eb9b615e80f8f2101b,c6d0fa47c26d11eb9b615e80f8f2101b,4.0
179,03375cefc41111eb8a795e80f8f2101b,0353cd9ab9cd11ebbd3b5e80f8f2101b,0.1
180,03375cefc41111eb8a795e80f8f2101b,198be819c27a11eb9b615e80f8f2101b,3.0
181,db5977a1c40b11eb8a795e80f8f2101b,212b06d3b6d111eb860b5e80f8f2101b,0.1
182,4728a24fc37411eb9b615e80f8f2101b,fc2e31c5b2e611eb860b5e80f8f2101b,0.1
183,4728a24fc37411eb9b615e80f8f2101b,c3a57a57bf7611eb9b615e80f8f2101b,0.1
184,4728a24fc37411eb9b615e80f8f2101b,a8c5c952c2b711eb9b615e80f8f2101b,5.0
185,ecec21b3c41411eb8a795e80f8f2101b,6fc69de7b90311ebbd3b5e80f8f2101b,0.1
186,ecec21b3c41411eb8a795e80f8f2101b,1512ae3fbc3b11eb9b615e80f8f2101b,0.1
187,ecec21b3c41411eb8a795e80f8f2101b,35f9045bbdbe11eb9b615e80f8f2101b,0.1
188,ecec21b3c41411eb8a795e80f8f2101b,587d3ea9c33811eb9b615e80f8f2101b,4.0
189,8bf00dffc43811eb8a795e80f8f2101b,d32dda3ec27d11eb9b615e80f8f2101b,3.0
190,108fc0eac43111eb8a795e80f8f2101b,694c8874b15211ebbd8d5e80f8f2101b,0.1
191,108fc0eac43111eb8a795e80f8f2101b,990ab84bbe8011eb9b615e80f8f2101b,0.1
192,108fc0eac43111eb8a795e80f8f2101b,f6dbd37fbf5c11eb9b615e80f8f2101b,0.1
193,4daa63cfc41d11eb8a795e80f8f2101b,99fc6ecfb14111ebbd8d5e80f8f2101b,0.1
194,4daa63cfc41d11eb8a795e80f8f2101b,2750b22ebf5411eb9b615e80f8f2101b,0.1
195,4daa63cfc41d11eb8a795e80f8f2101b,ec426a75c36911eb9b615e80f8f2101b,5.0
196,7127791bc41d11eb8a795e80f8f2101b,62f444e4c36911eb9b615e80f8f2101b,5.0
197,bb775ab4c38511eb9b615e80f8f2101b,a7f5a370bc5411eb9b615e80f8f2101b,0.1
198,ed54db8ec38511eb9b615e80f8f2101b,45ba9e0db84e11ebbd3b5e80f8f2101b,0.1
199,5ed0e812c4f611eb8a795e80f8f2101b,88df2b7bb6cd11eb860b5e80f8f2101b,0.1
200,5ed0e812c4f611eb8a795e80f8f2101b,d3154984bc3811eb9b615e80f8f2101b,0.1
201,5ed0e812c4f611eb8a795e80f8f2101b,4c925f5fc1be11eb9b615e80f8f2101b,1.0
202,5ed0e812c4f611eb8a795e80f8f2101b,70b5fa68c26d11eb9b615e80f8f2101b,2.0
203,5ed0e812c4f611eb8a795e80f8f2101b,71084eeac34d11eb9b615e80f8f2101b,3.0
204,3cfd14bfc48711eb8a795e80f8f2101b,23e92a66c44611eb8a795e80f8f2101b,5.0
205,5690d9c3c4da11eb8a795e80f8f2101b,2825ac18c27d11eb9b615e80f8f2101b,2.0
206,5690d9c3c4da11eb8a795e80f8f2101b,f4e41870c36e11eb9b615e80f8f2101b,4.0
207,f5cf3aafc48711eb8a795e80f8f2101b,3d2af728bc5511eb9b615e80f8f2101b,0.1
208,f5cf3aafc48711eb8a795e80f8f2101b,0087b72bbe9911eb9b615e80f8f2101b,0.1
209,f5cf3aafc48711eb8a795e80f8f2101b,86915033c47511eb8a795e80f8f2101b,5.0
210,75625db1c4d911eb8a795e80f8f2101b,fa6c9df6c41d11eb8a795e80f8f2101b,5.0
211,0bb98d43c46611eb8a795e80f8f2101b,d8c65a7bb6d111eb860b5e80f8f2101b,0.1
212,0bb98d43c46611eb8a795e80f8f2101b,4ba30482b78511ebbd3b5e80f8f2101b,0.1
213,7aedfc45c46511eb8a795e80f8f2101b,3306b4bec1b911eb9b615e80f8f2101b,2.0
214,86915033c47511eb8a795e80f8f2101b,3d2af728bc5511eb9b615e80f8f2101b,0.1
215,86915033c47511eb8a795e80f8f2101b,0087b72bbe9911eb9b615e80f8f2101b,0.1
216,9995a441c4ce11eb8a795e80f8f2101b,05cf2dddb84511ebbd3b5e80f8f2101b,0.1
217,9995a441c4ce11eb8a795e80f8f2101b,15334075bc3911eb9b615e80f8f2101b,0.1
218,9995a441c4ce11eb8a795e80f8f2101b,db443534beaa11eb9b615e80f8f2101b,0.1
219,9995a441c4ce11eb8a795e80f8f2101b,e0411a45c1bb11eb9b615e80f8f2101b,2.0
220,9995a441c4ce11eb8a795e80f8f2101b,0e66789dc1b511eb9b615e80f8f2101b,2.0
221,9995a441c4ce11eb8a795e80f8f2101b,651cc71ec27c11eb9b615e80f8f2101b,3.0
222,def1c451c4d011eb8a795e80f8f2101b,e9bba8b7b6a911eb860b5e80f8f2101b,0.1
223,8ab38f9cc4da11eb8a795e80f8f2101b,3306b4bec1b911eb9b615e80f8f2101b,2.0
224,8ab38f9cc4da11eb8a795e80f8f2101b,7aedfc45c46511eb8a795e80f8f2101b,5.0
225,a95b069bc72e11eb8a795e80f8f2101b,b622a797b45b11eb860b5e80f8f2101b,0.1
226,a95b069bc72e11eb8a795e80f8f2101b,30389d14c27911eb9b615e80f8f2101b,0.1
227,a0cb35b4c75d11eb8a795e80f8f2101b,3306b4bec1b911eb9b615e80f8f2101b,0.1
228,a0cb35b4c75d11eb8a795e80f8f2101b,7aedfc45c46511eb8a795e80f8f2101b,2.0
229,a0cb35b4c75d11eb8a795e80f8f2101b,8ab38f9cc4da11eb8a795e80f8f2101b,2.0
230,cf6f0f58c75d11eb8a795e80f8f2101b,22f09b05b2cf11eb860b5e80f8f2101b,0.1
231,cf6f0f58c75d11eb8a795e80f8f2101b,4fa91971c1dc11eb9b615e80f8f2101b,0.1
232,cf6f0f58c75d11eb8a795e80f8f2101b,2a92ae26c73211eb8a795e80f8f2101b,5.0
233,e2b786e3c73311eb8a795e80f8f2101b,1886c832bf7f11eb9b615e80f8f2101b,0.1
234,b7a1bdf2c73011eb8a795e80f8f2101b,a81d72abbc3611eb9b615e80f8f2101b,0.1
235,b7a1bdf2c73011eb8a795e80f8f2101b,f8ce10c6be9911eb9b615e80f8f2101b,0.1
236,0a1d4845c75911eb8a795e80f8f2101b,e892ace3b86b11ebbd3b5e80f8f2101b,0.1
237,0a1d4845c75911eb8a795e80f8f2101b,d1284609c1b911eb9b615e80f8f2101b,0.1
238,0a1d4845c75911eb8a795e80f8f2101b,6e6b7ba7c1d311eb9b615e80f8f2101b,0.1
239,0a1d4845c75911eb8a795e80f8f2101b,06ef81d0c1ab11eb9b615e80f8f2101b,0.1
240,146c9571c75511eb8a795e80f8f2101b,8f5bbc1ebdc611eb9b615e80f8f2101b,0.1
241,146c9571c75511eb8a795e80f8f2101b,fcf73b70bf7211eb9b615e80f8f2101b,0.1
242,146c9571c75511eb8a795e80f8f2101b,1c412815bf9011eb9b615e80f8f2101b,0.1
243,fb6c7abac75511eb8a795e80f8f2101b,3cfd14bfc48711eb8a795e80f8f2101b,2.0
244,fb6c7abac75511eb8a795e80f8f2101b,23e92a66c44611eb8a795e80f8f2101b,2.0
245,2a92ae26c73211eb8a795e80f8f2101b,22f09b05b2cf11eb860b5e80f8f2101b,0.1
246,2a92ae26c73211eb8a795e80f8f2101b,4fa91971c1dc11eb9b615e80f8f2101b,0.1
247,d0a9cb00c75811eb8a795e80f8f2101b,6723613ebdee11eb9b615e80f8f2101b,0.1
248,d0a9cb00c75811eb8a795e80f8f2101b,09af63c0beb111eb9b615e80f8f2101b,0.1
249,d0a9cb00c75811eb8a795e80f8f2101b,c6d0fa47c26d11eb9b615e80f8f2101b,0.1
250,d0a9cb00c75811eb8a795e80f8f2101b,7fd89344c34d11eb9b615e80f8f2101b,0.1
251,fa77164dc75811eb8a795e80f8f2101b,88df2b7bb6cd11eb860b5e80f8f2101b,0.1
252,fa77164dc75811eb8a795e80f8f2101b,d3154984bc3811eb9b615e80f8f2101b,0.1
253,fa77164dc75811eb8a795e80f8f2101b,4c925f5fc1be11eb9b615e80f8f2101b,0.1
254,fa77164dc75811eb8a795e80f8f2101b,70b5fa68c26d11eb9b615e80f8f2101b,0.1
255,fa77164dc75811eb8a795e80f8f2101b,71084eeac34d11eb9b615e80f8f2101b,0.1
256,fa77164dc75811eb8a795e80f8f2101b,5ed0e812c4f611eb8a795e80f8f2101b,2.0
257,17a65a7bc76e11eb8a795e80f8f2101b,3d2af728bc5511eb9b615e80f8f2101b,0.1
258,17a65a7bc76e11eb8a795e80f8f2101b,0087b72bbe9911eb9b615e80f8f2101b,0.1
259,17a65a7bc76e11eb8a795e80f8f2101b,f5cf3aafc48711eb8a795e80f8f2101b,2.0
260,17a65a7bc76e11eb8a795e80f8f2101b,86915033c47511eb8a795e80f8f2101b,2.0
261,02431a56c82111eb8a795e80f8f2101b,212b06d3b6d111eb860b5e80f8f2101b,0.1
